mutator,step_num,domain,entropy,watermark_detected,watermark_score
DocumentMutator,50,Other ,high,False,-1
DocumentMutator,51,Other ,high,False,-1
DocumentMutator,52,Other ,high,False,-1
DocumentMutator,53,Other ,high,False,-1
DocumentMutator,54,Other ,high,False,-1
DocumentMutator,55,Other ,high,False,-1
DocumentMutator,56,Other ,high,False,-1
DocumentMutator,57,Other ,high,False,-1
DocumentMutator,58,Other ,high,False,-1
DocumentMutator,59,Other ,high,False,-1
DocumentMutator,59,Mental Health ,high,False,-1
DocumentMutator,0,Mental Health ,high,False,-1
DocumentMutator,1,Mental Health ,high,False,-1
DocumentMutator,2,Mental Health ,high,False,-1
DocumentMutator,3,Mental Health ,high,False,-1
DocumentMutator,4,Mental Health ,high,False,-1
DocumentMutator,5,Mental Health ,high,False,-1
DocumentMutator,6,Mental Health ,high,False,-1
DocumentMutator,7,Mental Health ,high,False,-1
DocumentMutator,8,Mental Health ,high,False,-1
DocumentMutator,9,Mental Health ,high,False,-1
DocumentMutator,10,Mental Health ,high,False,-1
DocumentMutator,11,Mental Health ,high,False,-1
DocumentMutator,12,Mental Health ,high,False,-1
DocumentMutator,13,Mental Health ,high,False,-1
DocumentMutator,14,Mental Health ,high,False,-1
DocumentMutator,15,Mental Health ,high,False,-1
DocumentMutator,16,Mental Health ,high,False,-1
DocumentMutator,17,Mental Health ,high,False,-1
DocumentMutator,18,Mental Health ,high,False,-1
DocumentMutator,19,Mental Health ,high,False,-1
DocumentMutator,20,Mental Health ,high,False,-1
DocumentMutator,21,Mental Health ,high,False,-1
DocumentMutator,22,Mental Health ,high,False,-1
DocumentMutator,23,Mental Health ,high,False,-1
DocumentMutator,24,Mental Health ,high,False,-1
DocumentMutator,25,Mental Health ,high,False,-1
DocumentMutator,26,Mental Health ,high,False,-1
DocumentMutator,27,Mental Health ,high,False,-1
DocumentMutator,28,Mental Health ,high,False,-1
DocumentMutator,29,Mental Health ,high,False,-1
DocumentMutator,30,Mental Health ,high,False,-1
DocumentMutator,31,Mental Health ,high,False,-1
DocumentMutator,32,Mental Health ,high,False,-1
DocumentMutator,33,Mental Health ,high,False,-1
DocumentMutator,34,Mental Health ,high,False,-1
DocumentMutator,35,Mental Health ,high,False,-1
DocumentMutator,36,Mental Health ,high,False,-1
DocumentMutator,37,Mental Health ,high,False,-1
DocumentMutator,38,Mental Health ,high,False,-1
DocumentMutator,39,Mental Health ,high,False,-1
DocumentMutator,40,Mental Health ,high,False,-1
DocumentMutator,41,Mental Health ,high,False,-1
DocumentMutator,42,Mental Health ,high,False,-1
DocumentMutator,43,Mental Health ,high,False,-1
DocumentMutator,44,Mental Health ,high,False,-1
DocumentMutator,45,Mental Health ,high,False,-1
DocumentMutator,46,Mental Health ,high,False,-1
DocumentMutator,47,Mental Health ,high,False,-1
DocumentMutator,48,Mental Health ,high,False,-1
DocumentMutator,49,Mental Health ,high,False,-1
DocumentMutator,50,Mental Health ,high,False,-1
DocumentMutator,51,Mental Health ,high,False,-1
DocumentMutator,52,Mental Health ,high,False,-1
DocumentMutator,53,Mental Health ,high,False,-1
DocumentMutator,54,Mental Health ,high,False,-1
DocumentMutator,55,Mental Health ,high,False,-1
DocumentMutator,56,Mental Health ,high,False,-1
DocumentMutator,57,Mental Health ,high,False,-1
DocumentMutator,58,Mental Health ,high,False,-1
DocumentMutator,59,Mental Health ,high,False,-1
DocumentMutator,60,Mental Health ,high,False,-1
DocumentMutator,61,Mental Health ,high,False,-1
DocumentMutator,62,Mental Health ,high,False,-1
DocumentMutator,63,Mental Health ,high,False,-1
DocumentMutator,64,Mental Health ,high,False,-1
DocumentMutator,65,Mental Health ,high,False,-1
DocumentMutator,66,Mental Health ,high,False,-1
DocumentMutator,67,Mental Health ,high,False,-1
DocumentMutator,68,Mental Health ,high,False,-1
DocumentMutator,69,Mental Health ,high,False,-1
DocumentMutator,70,Mental Health ,high,False,-1
DocumentMutator,71,Mental Health ,high,False,-1
DocumentMutator,72,Mental Health ,high,False,-1
DocumentMutator,73,Mental Health ,high,False,-1
DocumentMutator,74,Mental Health ,high,False,-1
DocumentMutator,75,Mental Health ,high,False,-1
DocumentMutator,76,Mental Health ,high,False,-1
DocumentMutator,77,Mental Health ,high,False,-1
DocumentMutator,78,Mental Health ,high,False,-1
DocumentMutator,79,Mental Health ,high,False,-1
DocumentMutator,80,Mental Health ,high,False,-1
DocumentMutator,81,Mental Health ,high,False,-1
DocumentMutator,82,Mental Health ,high,False,-1
DocumentMutator,83,Mental Health ,high,False,-1
DocumentMutator,84,Mental Health ,high,False,-1
DocumentMutator,85,Mental Health ,high,False,-1
DocumentMutator,86,Mental Health ,high,False,-1
DocumentMutator,87,Mental Health ,high,False,-1
DocumentMutator,88,Mental Health ,high,False,-1
DocumentMutator,89,Mental Health ,high,False,-1
DocumentMutator,90,Mental Health ,high,False,-1
DocumentMutator,91,Mental Health ,high,False,-1
DocumentMutator,92,Mental Health ,high,False,-1
DocumentMutator,93,Mental Health ,high,False,-1
DocumentMutator,94,Mental Health ,high,False,-1
DocumentMutator,95,Mental Health ,high,False,-1
DocumentMutator,96,Mental Health ,high,False,-1
DocumentMutator,97,Mental Health ,high,False,-1
DocumentMutator,98,Mental Health ,high,False,-1
DocumentMutator,99,Mental Health ,high,False,-1
DocumentMutator,100,Mental Health ,high,False,-1
DocumentMutator,101,Mental Health ,high,False,-1
DocumentMutator,102,Mental Health ,high,False,-1
DocumentMutator,103,Mental Health ,high,False,-1
DocumentMutator,104,Mental Health ,high,False,-1
DocumentMutator,105,Mental Health ,high,False,-1
DocumentMutator,106,Mental Health ,high,False,-1
DocumentMutator,107,Mental Health ,high,False,-1
DocumentMutator,108,Mental Health ,high,False,-1
DocumentMutator,109,Mental Health ,high,False,-1
DocumentMutator,110,Mental Health ,high,False,-1
DocumentMutator,111,Mental Health ,high,False,-1
DocumentMutator,112,Mental Health ,high,False,-1
DocumentMutator,113,Mental Health ,high,False,-1
DocumentMutator,114,Mental Health ,high,False,-1
DocumentMutator,115,Mental Health ,high,False,-1
DocumentMutator,116,Mental Health ,high,False,-1
DocumentMutator,117,Mental Health ,high,False,-1
DocumentMutator,118,Mental Health ,high,False,-1
DocumentMutator,119,Mental Health ,high,False,-1
DocumentMutator,120,Mental Health ,high,False,-1
DocumentMutator,121,Mental Health ,high,False,-1
DocumentMutator,122,Mental Health ,high,False,-1
DocumentMutator,123,Mental Health ,high,False,-1
DocumentMutator,124,Mental Health ,high,False,-1
DocumentMutator,125,Mental Health ,high,False,-1
DocumentMutator,126,Mental Health ,high,False,-1
DocumentMutator,127,Mental Health ,high,False,-1
DocumentMutator,128,Mental Health ,high,False,-1
DocumentMutator,129,Mental Health ,high,False,-1
DocumentMutator,130,Mental Health ,high,False,-1
DocumentMutator,131,Mental Health ,high,False,-1
DocumentMutator,132,Mental Health ,high,False,-1
DocumentMutator,133,Mental Health ,high,False,-1
DocumentMutator,134,Mental Health ,high,False,-1
DocumentMutator,135,Mental Health ,high,False,-1
DocumentMutator,136,Mental Health ,high,False,-1
DocumentMutator,137,Mental Health ,high,False,-1
DocumentMutator,138,Mental Health ,high,False,-1
DocumentMutator,139,Mental Health ,high,False,-1
DocumentMutator,140,Mental Health ,high,False,-1
DocumentMutator,141,Mental Health ,high,False,-1
DocumentMutator,142,Mental Health ,high,False,-1
DocumentMutator,143,Mental Health ,high,False,-1
DocumentMutator,144,Mental Health ,high,False,-1
