mutator,id,step_num,domain,entropy,watermark_detected,watermark_score
Document1StepMutator,626039013,19,Art ,high,0,0.5773502691896257
Document1StepMutator,626039013,39,Art ,high,0,-0.8164965809277261
Document1StepMutator,626039013,79,Art ,high,0,1.6329931618554523
Document1StepMutator,626039013,99,Art ,high,0,0.0
Document1StepMutator,626039013,119,Art ,high,0,0.8164965809277261
Document1StepMutator,626039013,179,Art ,high,0,-0.8164965809277261
Document1StepMutator,626039013,199,Art ,high,0,-0.8164965809277261
Document1StepMutator,626039013,200,Art ,high,0,-0.8164965809277261
Document1StepMutator,1898392019,-1,Other ,low,1,4.963972767957701
Document1StepMutator,1898392019,0,Other ,low,0,-0.8164965809277261
Document1StepMutator,1898392019,2,Other ,low,1,0.1740776559556978
Document1StepMutator,1898392019,19,Other ,low,0,-0.8164965809277261
Document1StepMutator,1898392019,79,Other ,low,0,-0.8164965809277261
Document1StepMutator,1898392019,99,Other ,low,0,-0.8164965809277261
Document1StepMutator,3175821665,-1,Physics ,low,1,4.898979485566357
Document1StepMutator,3175821665,1,Physics ,low,1,2.116950987028628
Document1StepMutator,3175821665,6,Physics ,low,1,2.116950987028628
Document1StepMutator,3175821665,7,Physics ,low,1,2.116950987028628
Document1StepMutator,3175821665,9,Physics ,low,1,2.116950987028628
Document1StepMutator,3175821665,19,Physics ,low,0,2.116950987028628
Document1StepMutator,3175821665,39,Physics ,low,0,2.116950987028628
Document1StepMutator,3175821665,59,Physics ,low,0,1.3471506281091268
Document1StepMutator,3175821665,79,Physics ,low,0,1.3471506281091268
Document1StepMutator,3175821665,99,Physics ,low,0,-0.1924500897298752
Document1StepMutator,3175821665,119,Physics ,low,0,-0.1924500897298752
Document1StepMutator,3175821665,139,Physics ,low,0,-0.1924500897298752
Document1StepMutator,3175821665,153,Physics ,low,0,-0.1924500897298752
Document1StepMutator,3964704857,-1,Astronomy ,low,1,4.898979485566357
Document1StepMutator,3964704857,0,Astronomy ,low,0,-0.1924500897298752
Document1StepMutator,3964704857,1,Astronomy ,low,1,2.8867513459481287
Document1StepMutator,3964704857,2,Astronomy ,low,1,2.116950987028628
Document1StepMutator,3964704857,3,Astronomy ,low,1,3.65655170486763
Document1StepMutator,3964704857,4,Astronomy ,low,1,2.8867513459481287
Document1StepMutator,3964704857,19,Astronomy ,low,0,1.091089451179962
Document1StepMutator,3964704857,39,Astronomy ,low,0,0.2182178902359924
Document1StepMutator,3964704857,59,Astronomy ,low,0,1.091089451179962
Document1StepMutator,3964704857,79,Astronomy ,low,0,0.2182178902359924
Document1StepMutator,3964704857,99,Astronomy ,low,0,0.2182178902359924
Document1StepMutator,3964704857,119,Astronomy ,low,0,1.091089451179962
Document1StepMutator,3964704857,139,Astronomy ,low,0,1.091089451179962
Document1StepMutator,3964704857,159,Astronomy ,low,0,1.091089451179962
Document1StepMutator,3964704857,179,Astronomy ,low,0,1.091089451179962
Document1StepMutator,3964704857,183,Astronomy ,low,0,1.091089451179962
Document1StepMutator,3949048841,-1,Psychology ,high,1,4.898979485566357
Document1StepMutator,3949048841,0,Psychology ,high,1,1.091089451179962
Document1StepMutator,3949048841,1,Psychology ,high,0,-0.1924500897298752
Document1StepMutator,3949048841,2,Psychology ,high,1,1.3471506281091268
Document1StepMutator,3949048841,4,Psychology ,high,1,1.3471506281091268
Document1StepMutator,3949048841,6,Psychology ,high,1,0.5773502691896257
Document1StepMutator,3949048841,19,Psychology ,high,0,0.5773502691896257
Document1StepMutator,3949048841,39,Psychology ,high,0,-0.1924500897298752
Document1StepMutator,3949048841,59,Psychology ,high,0,-0.1924500897298752
Document1StepMutator,3949048841,79,Psychology ,high,0,2.116950987028628
Document1StepMutator,3949048841,99,Psychology ,high,0,-0.9622504486493764
Document1StepMutator,3949048841,119,Psychology ,high,0,-0.9622504486493764
Document1StepMutator,3949048841,139,Psychology ,high,0,-0.9622504486493764
Document1StepMutator,3949048841,159,Psychology ,high,0,-0.9622504486493764
Document1StepMutator,3949048841,179,Psychology ,high,0,-0.1924500897298752
Document1StepMutator,3949048841,199,Psychology ,high,0,-0.1924500897298752
Document1StepMutator,2359368349,-1,Mathematics ,low,1,4.898979485566357
Document1StepMutator,2359368349,1,Mathematics ,low,1,0.5773502691896257
Document1StepMutator,2359368349,2,Mathematics ,low,1,0.3651483716701107
Document1StepMutator,2359368349,3,Mathematics ,low,0,-0.3651483716701107
Document1StepMutator,2359368349,4,Mathematics ,low,0,-0.1924500897298752
Document1StepMutator,2359368349,19,Mathematics ,low,0,1.3471506281091268
Document1StepMutator,2359368349,39,Mathematics ,low,0,-0.1924500897298752
Document1StepMutator,2359368349,59,Mathematics ,low,0,-0.1924500897298752
Document1StepMutator,2359368349,79,Mathematics ,low,0,-0.1924500897298752
Document1StepMutator,2359368349,99,Mathematics ,low,0,1.8257418583505536
Document1StepMutator,2359368349,139,Mathematics ,low,0,-0.8164965809277261
Document1StepMutator,2359368349,159,Mathematics ,low,0,-0.8164965809277261
Document1StepMutator,2359368349,179,Mathematics ,low,0,-0.8164965809277261
Document1StepMutator,2359368349,199,Mathematics ,low,0,-0.8164965809277261
Document1StepMutator,2359368349,200,Mathematics ,low,0,-0.8164965809277261
Document1StepMutator,652168688,-1,Technology ,low,1,4.898979485566357
Document1StepMutator,652168688,0,Technology ,low,1,0.8164965809277261
